year_month,person,screen_time_seconds
2019-11,al sharpton,12545
2019-12,al sharpton,12246
2020-01,al sharpton,8958
2020-02,al sharpton,13266
2020-03,al sharpton,12185
2020-04,al sharpton,11006
2020-05,al sharpton,21172
2020-06,al sharpton,34393
2020-07,al sharpton,21076
2010-01,alex witt,14375
2010-02,alex witt,7169
2010-03,alex witt,7857
2010-04,alex witt,13856
2010-05,alex witt,9111
2010-06,alex witt,5936
2010-07,alex witt,8415
2010-08,alex witt,10898
2010-09,alex witt,10641
2010-10,alex witt,8905
2010-11,alex witt,8985
2010-12,alex witt,5965
2011-01,alex witt,9360
2011-02,alex witt,7721
2011-03,alex witt,11208
2011-04,alex witt,9401
2011-05,alex witt,13113
2011-06,alex witt,8241
2011-07,alex witt,8815
2011-08,alex witt,8593
2011-09,alex witt,8764
2011-10,alex witt,7720
2011-11,alex witt,7665
2011-12,alex witt,7618
2012-01,alex witt,8618
2012-02,alex witt,6517
2012-03,alex witt,8093
2012-04,alex witt,6202
2012-05,alex witt,5138
2012-06,alex witt,6011
2012-07,alex witt,6420
2012-08,alex witt,3106
2012-09,alex witt,7243
2012-10,alex witt,6559
2012-11,alex witt,10053
2012-12,alex witt,7067
2013-01,alex witt,7256
2013-02,alex witt,7643
2013-03,alex witt,7424
2013-04,alex witt,7015
2013-05,alex witt,5269
2013-06,alex witt,5284
2013-07,alex witt,6646
2013-08,alex witt,7019
2013-09,alex witt,9242
2013-10,alex witt,5241
2013-11,alex witt,7674
2013-12,alex witt,8675
2014-01,alex witt,8296
2014-02,alex witt,6645
2014-03,alex witt,8590
2014-04,alex witt,7307
2014-05,alex witt,7688
2014-06,alex witt,6308
2014-07,alex witt,8042
2014-08,alex witt,10033
2014-09,alex witt,6855
2014-10,alex witt,6782
2014-11,alex witt,9673
2014-12,alex witt,6906
2015-01,alex witt,5327
2015-02,alex witt,5215
2015-03,alex witt,5375
2015-04,alex witt,6825
2015-05,alex witt,8332
2015-06,alex witt,3483
2015-07,alex witt,7570
2015-08,alex witt,5288
2015-09,alex witt,7530
2015-10,alex witt,4450
2015-11,alex witt,8751
2015-12,alex witt,6028
2016-01,alex witt,5105
2016-02,alex witt,3775
2016-03,alex witt,6472
2016-04,alex witt,11455
2016-05,alex witt,8103
2016-06,alex witt,8507
2016-07,alex witt,9467
2016-08,alex witt,4243
2016-09,alex witt,7292
2016-10,alex witt,8909
2016-11,alex witt,5490
2016-12,alex witt,2478
2017-01,alex witt,7823
2017-02,alex witt,6226
2017-03,alex witt,4714
2017-04,alex witt,8544
2017-05,alex witt,2619
2017-06,alex witt,4420
2017-07,alex witt,9732
2017-08,alex witt,8122
2017-09,alex witt,11228
2017-10,alex witt,10747
2017-11,alex witt,8197
2017-12,alex witt,9320
2018-01,alex witt,12583
2018-02,alex witt,10484
2018-03,alex witt,14191
2018-04,alex witt,9839
2018-05,alex witt,12183
2018-06,alex witt,10657
2018-07,alex witt,15456
2018-08,alex witt,7432
2018-09,alex witt,10461
2018-10,alex witt,10518
2018-11,alex witt,10465
2018-12,alex witt,9945
2019-01,alex witt,10352
2019-02,alex witt,10775
2019-03,alex witt,12542
2019-04,alex witt,8378
2019-05,alex witt,7716
2019-06,alex witt,11208
2019-07,alex witt,7004
2019-08,alex witt,5221
2019-09,alex witt,8854
2019-10,alex witt,7055
2019-11,alex witt,10216
2019-12,alex witt,11446
2020-01,alex witt,5871
2020-02,alex witt,9060
